Company,Location_HQ,Industry,Laid_off_count,Percentage,date,Stage,Country,Funds_Raised
Twig,London,Finance,NULL,1.0,2024-02-02,Unknown,"United Kingdom",41
Twiga,Nairobi,Food,283,0.33,2023-08-20,"Series C",Kenya,157
Twilio,"SF Bay Area",Other,NULL,0.05,2023-12-04,Post-IPO,"United States",614
Twitch,"SF Bay Area",Consumer,NULL,NULL,2023-10-03,Acquired,"United States",35
Twitch,"SF Bay Area",Consumer,500,0.35,2024-01-09,Acquired,"United States",35
"Uber Freight","SF Bay Area",Logistics,40,NULL,2024-01-09,Subsidiary,"United States",2700
Udaan,Bengaluru,Retail,100,0.1,2023-12-18,Unknown,India,1500
Uleet,Columbus,Healthcare,NULL,1.0,2023-11-15,Unknown,"United States",NULL
"Unite Us","New York City",Healthcare,NULL,NULL,2023-08-21,"Series C","United States",196
Unity,"SF Bay Area",Other,1800,0.25,2024-01-08,Post-IPO,"United States",1300
Unity,"SF Bay Area",Other,265,0.04,2023-11-28,Post-IPO,"United States",1300
Vacasa,Portland,Travel,320,0.05,2024-02-28,Post-IPO,"United States",834
Vacasa,Portland,Travel,800,0.13,2024-05-09,Post-IPO,"United States",834
Veeam,Columbus,Data,300,NULL,2024-01-12,Acquired,"United States",500
Veev,"SF Bay Area",Construction,NULL,1.0,2023-11-26,"Series D","United States",597
Veho,Boulder,Logistics,65,0.19,2024-01-25,"Series B","United States",299
Velocity,Bengaluru,Finance,NULL,0.14,2023-09-15,"Series A",India,30
Vendasta,Saskatoon,Marketing,NULL,NULL,2023-09-29,"Series D",Canada,178
Vendr,Boston,Other,NULL,NULL,2024-01-12,"Series B","United States",216
Verbit,"New York City",Data,NULL,NULL,2024-03-05,"Series E","United States",569
Verbit,"New York City",Data,60,0.06,2023-07-27,"Series E","United States",569
Veriff,Tallinn,Security,101,0.21,2023-08-23,"Series C",Estonia,192
Verily,"SF Bay Area",Healthcare,NULL,NULL,2024-03-22,Subsidiary,"United States",3500
Verse,Barcelona,Finance,NULL,1.0,2023-08-07,Acquired,Spain,38
Vesttoo,"Tel Aviv",Finance,150,0.75,2023-08-01,"Series C",Israel,110
Viasat,"San Diego",Other,800,0.1,2023-11-02,Post-IPO,"United States",366
"Vice Media","New York City",Media,NULL,NULL,2024-02-22,Unknown,"United States",1600
VideoAmp,"Los Angeles",Marketing,NULL,0.2,2024-01-04,"Series F","United States",456
VideoAmp,"Los Angeles",Marketing,40,0.1,2023-09-14,"Series F","United States",456
Virgio,Bengaluru,Retail,20,0.33,2023-10-25,"Series A",India,NULL
"Vivian Health","SF Bay Area",Healthcare,13,NULL,2024-04-03,Acquired,"United States",60
VMware,"SF Bay Area",Infrastructure,2837,NULL,2023-11-27,Acquired,"United States",393
Voi,Stockholm,Transportation,120,0.12,2024-02-16,"Series D","United States",515
"Volta Trucks",Stockholm,Transportation,NULL,1.0,2023-10-18,"Series C",Sweden,391
"Vox Media","Washington D.C.",Media,NULL,0.04,2023-11-30,"Series F","United States",307
Vroom,"New York City",Transportation,800,0.9,2024-01-23,Post-IPO,"United States",1300
VTrips,Jacksonville,Travel,75,0.09,2023-10-07,"Private Equity","United States",NULL
Walnut,"New York City",Sales,15,0.2,2024-05-29,"Series B","United States",56
Wattpad,Toronto,Media,20,0.1,2024-01-30,Acquired,Canada,117
WayCool,Chennai,Food,70,NULL,2024-02-26,Unknown,India,363
Wayfair,Boston,Retail,1650,0.13,2024-01-19,Post-IPO,"United States",1700
Waymo,"SF Bay Area",Transportation,NULL,NULL,2023-10-17,Subsidiary,"United States",5500
Wefox,Berlin,Finance,60,NULL,2024-05-16,"Series D",Germany,1300
WeTransfer,Amsterdam,Other,35,0.1,2023-10-18,"Series A",Netherlands,64
"Wint Wealth",Nashik,Finance,19,0.2,2024-02-14,"Series A",India,16
Wisense,"Tel Aviv",Transportation,NULL,1.0,2024-02-13,Unknown,Israel,37
Wish,"SF Bay Area",Retail,255,0.34,2023-07-27,Post-IPO,"United States",1600
Workfellow,Espoo,HR,NULL,1.0,2024-02-07,Seed,Finland,3
Xendit,Jakarta,Finance,NULL,NULL,2023-08-16,"Series D",Indonesia,534
Xendit,Jakarta,Finance,NULL,NULL,2024-01-22,"Series D",Indonesia,534
Xendit,Jakarta,Finance,200,NULL,2024-01-22,"Series D",Indonesia,534
Xerox,Norwalk,Hardware,3000,0.15,2024-01-03,Post-IPO,"United States",27200
Xolo,Tallinn,Finance,24,NULL,2023-09-04,"Series A",Estonia,11
Yahoo,"SF Bay Area",Consumer,NULL,NULL,2023-12-05,Acquired,"United States",6
Yext,"New York City",Marketing,NULL,0.12,2024-06-05,Post-IPO,"United States",117
YouTube,"SF Bay Area",Media,100,NULL,2024-01-17,Acquired,"United States",11
"Yuga Labs",Miami,Crypto,NULL,NULL,2023-10-06,Unknown,"United States",450
Yummly,"SF Bay Area",Food,NULL,1.0,2024-04-03,Acquired,"United States",24
"Zebra Technologies",Chicago,Manufacturing,700,0.07,2023-08-28,Post-IPO,"United States",2000
Zeplin,"SF Bay Area",Product,37,0.35,2023-08-30,Seed,"United States",1
Zepz,London,Finance,30,0.02,2023-11-30,"Series E","United Kingdom",700
ZestMoney,Bengaluru,Finance,150,1.0,2023-12-05,"Series C",India,120
"Zeus Living","SF Bay Area","Real Estate",NULL,1.0,2023-11-07,"Series C","United States",151
Zillow,Seattle,"Real Estate",23,NULL,2023-11-07,Post-IPO,"United States",97
Zoe,London,Healthcare,NULL,0.2,2024-04-11,"Series B","United Kingdom",89
Zoom,"SF Bay Area",Other,150,0.02,2024-02-01,Post-IPO,"United States",276
Zulily,Seattle,Retail,839,1.0,2023-12-08,Acquired,"United States",194
Zuora,"SF Bay Area",Finance,NULL,0.08,2024-01-31,Post-IPO,"United States",647
Zwift,"Los Angeles",Fitness,NULL,NULL,2024-02-05,"Series C","United States",619
Zylo,Indianapolis,Other,NULL,0.1,2023-08-18,"Series C","United States",72
