Company,Location_HQ,Industry,Laid_off_count,Percentage,date,Stage,Country,Funds_Raised
MoonPay,Dover,Crypto,30,0.1,2024-06-05,Unknown,"United States",651
"Morning Consult","Washington D.C.",Data,NULL,NULL,2024-01-09,"Series B","United States",91
Motional,Boston,Transportation,NULL,0.05,2024-02-28,Unknown,"United States",NULL
Motional,Pittsburgh,Transportation,550,0.4,2024-05-10,Unknown,"United States",NULL
Mozilla,"SF Bay Area",Consumer,60,0.05,2024-02-13,Unknown,"United States",2.3
mPharma,Accra,Healthcare,150,NULL,2023-09-04,"Series D",Ghana,90
MPL,Bengaluru,Consumer,350,NULL,2023-08-08,Unknown,India,375
Multiverse,London,Education,NULL,NULL,2023-10-25,"Series D","United Kingdom",414
Multiverse,London,Education,NULL,0.05,2023-11-28,"Series D","United Kingdom",414
Muvin,Bengaluru,Finance,NULL,1.0,2024-02-05,Seed,India,4
MVPindex,Austin,Marketing,12,0.3,2024-01-25,"Series B","United States",27
Myntra,Bengaluru,Retail,50,NULL,2023-07-26,Acquired,India,516
N26,Berlin,Finance,14,NULL,2023-09-29,"Series E",Germany,1700
"NanoString Technologies",Seattle,Healthcare,50,0.09,2024-01-06,Post-IPO,"United States",826
Navan,"SF Bay Area",Finance,145,0.05,2023-12-05,Unknown,"United States",2200
Navan,"SF Bay Area",Travel,145,NULL,2023-12-06,Unknown,"United States",2200
Neon,"Sao Paulo",Finance,180,NULL,2023-10-10,"Series D",Brazil,727
Nevro,"SF Bay Area",Healthcare,63,0.05,2024-01-09,Post-IPO,"United States",556
"New Relic","SF Bay Area",Infrastructure,NULL,NULL,2024-04-03,Acquired,"United States",214
"New Work SE",Hamburg,Consumer,400,NULL,2024-01-11,Post-IPO,Germany,NULL
Nexar,"New York City",Transportation,12,NULL,2023-07-31,"Series D","United States",149
Nexar,"New York City",Transportation,17,0.14,2023-09-04,"Series D","United States",149
Nextdoor,"SF Bay Area",Consumer,NULL,0.25,2023-11-07,Post-IPO,"United States",736
"NextGen Healthcare","St. Louis",Healthcare,84,NULL,2023-11-17,Acquired,"United States",NULL
Niantic,"Los Angeles",Other,100,NULL,2023-08-09,"Series D","United States",770
Niche,Pittsburgh,Education,24,0.07,2024-03-08,"Series C","United States",44
NIO,Shanghai,Transportation,NULL,0.1,2023-11-03,Post-IPO,China,7200
Noice,Helsinki,Consumer,NULL,NULL,2023-08-15,Seed,Finland,5
"Nomad Health","New York City",Healthcare,NULL,NULL,2024-02-05,Unknown,"United States",218
"Nomad Health","New York City",Healthcare,NULL,0.25,2023-10-20,Unknown,"United States",218
"Nomad Health","New York City",Healthcare,119,0.17,2023-10-20,Unknown,"United States",218
Noom,"New York City",Fitness,NULL,NULL,2024-01-30,"Series F","United States",657
Nowadays,"SF Bay Area",Food,NULL,1.0,2023-09-18,Seed,"United States",10
"NuScale Power",Corvallis,Energy,154,0.28,2024-01-08,Post-IPO,"United States",470
Oda,Oslo,Food,150,NULL,2024-06-05,Unknown,Norway,691
Okta,"SF Bay Area",Security,400,0.07,2024-02-01,Post-IPO,"United States",1200
Ola,Bengaluru,Transportation,180,0.1,2024-04-29,"Series J",India,5000
Olive,Columbus,Healthcare,NULL,1.0,2023-10-31,"Series H","United States",856
Omuni,Bengaluru,Retail,60,0.35,2023-08-30,Acquired,India,10
OpenSea,"New York City",Crypto,NULL,0.5,2023-11-03,"Series C","United States",427
OpenSpace,"SF Bay Area",Construction,NULL,NULL,2023-11-02,"Series D","United States",200
Oportun,"SF Bay Area",Finance,185,0.07,2023-11-07,Post-IPO,"United States",766
Orbotech,Yavne,Manufacturing,100,NULL,2024-03-19,Acquired,Israel,NULL
"Orca Security","Tel Aviv",Security,60,0.15,2024-01-03,"Series C",Israel,632
OrCam,Jerusalem,Healthcare,100,0.5,2024-06-03,Unknown,Israel,86
OrCam,Jerusalem,Healthcare,50,0.19,2024-02-28,Unknown,Israel,86
Orchard,"New York City","Real Estate",NULL,NULL,2023-11-02,"Series D","United States",472
OSlash,Bengaluru,Other,NULL,1.0,2023-11-09,Seed,India,7
"Osso VR","SF Bay Area",Healthcare,67,NULL,2024-04-01,"Series C","United States",109
Otovo,Oslo,Energy,65,0.15,2024-02-08,Post-IPO,Norway,247
"Our Next Energy",Detroit,Transportation,128,0.25,2023-11-27,"Series B","United States",390
"Our Next Energy",Detroit,Transportation,40,0.13,2024-03-04,"Series B","United States",390
Outreach,Seattle,Sales,NULL,0.12,2023-09-20,"Series G","United States",489
Outreach,Seattle,Sales,NULL,0.05,2023-08-01,"Series G","United States",489
OutSystems,Boston,Product,150,0.08,2024-04-19,"Series G","United States",802
Oyster,Charlotte,HR,NULL,NULL,2023-09-11,"Series C","United States",224
Pagaya,"Tel Aviv",Finance,100,0.2,2024-06-05,Post-IPO,Israel,2000
"Palmetto Clean Technology",Charleston,Energy,NULL,NULL,2023-12-21,"Private Equity","United States",628
Paper,Montreal,Education,106,0.04,2023-08-01,"Series D",Canada,389
Paper,Montreal,Education,87,0.03,2023-09-12,"Series D",Canada,389
"Parity Technologies",London,Crypto,100,0.3,2023-10-23,Unknown,"United Kingdom",NULL
Pax8,Denver,Infrastructure,NULL,0.05,2024-04-18,Unknown,"United States",400
PayPal,"SF Bay Area",Finance,2500,0.09,2024-01-30,Post-IPO,"United States",216
Paystack,Lagos,Finance,33,NULL,2023-11-16,Acquired,Nigeria,10
Paytm,Noida,Finance,1000,NULL,2023-12-25,Unknown,India,NULL
Pebble,"SF Bay Area",Consumer,NULL,1.0,2023-10-24,Seed,"United States",1
Pegasystems,Boston,HR,240,0.04,2023-08-31,Post-IPO,"United States",NULL
Peloton,"New York City",Fitness,400,0.15,2024-05-02,Post-IPO,"United States",1900
Personio,Munich,HR,100,NULL,2024-01-24,"Series E",Germany,724
"Phantom Auto","SF Bay Area",Transportation,100,1.0,2024-03-12,Unknown,"United States",86
"Physics Wallah",Noida,Education,120,0.01,2023-11-19,"Series A",India,100
"Pico Interactive","SF Bay Area",Other,NULL,NULL,2023-11-06,Acquired,"United States",62
"Ping Identity",Denver,Security,NULL,NULL,2023-11-14,Acquired,"United States",128
Pipedrive,Tallinn,Sales,NULL,NULL,2023-11-30,"Private Equity",Estonia,90
Pitch,Berlin,Other,80,0.67,2024-01-08,"Series B",Germany,138
Pivo,Abuja,Finance,NULL,1.0,2023-12-05,Seed,Nigeria,3
Planet,"SF Bay Area",Aerospace,117,0.1,2023-08-01,Post-IPO,"United States",574
PlanetScale,"SF Bay Area",Data,NULL,NULL,2024-03-06,"Series C","United States",105
Playtika,"Tel Aviv",Consumer,300,0.1,2024-01-11,Post-IPO,Israel,NULL
Plume,Denver,Healthcare,24,NULL,2023-10-18,"Series B","United States",38
Pluralsight,"Salt Lake City",Education,NULL,NULL,2023-07-25,Acquired,"United States",192
Podium,Lehi,Support,NULL,NULL,2023-08-09,"Series D","United States",419
Point,"SF Bay Area","Real Estate",61,0.28,2023-07-27,"Series C","United States",149
Polygon,"Cayman Islands",Crypto,60,0.19,2024-02-01,Unknown,"Cayman Islands",451
PrepLadder,"New Delhi",Education,145,0.25,2024-05-08,Acquired,India,NULL
Presto,"SF Bay Area",Food,NULL,0.17,2023-11-20,Post-IPO,"United States",167
"Pristyn Care",Gurugram,Healthcare,120,0.07,2024-03-01,"Series E",India,177
Procore,"Santa Barbara",Construction,NULL,0.04,2024-01-30,Post-IPO,"United States",654
"Product Hunt",Unknown,Consumer,NULL,0.6,2023-10-09,Acquired,"United States",NULL
Productboard,"SF Bay Area",Product,NULL,0.1,2023-08-31,"Series D","United States",NULL
"Project Ronin","SF Bay Area",Healthcare,150,1.0,2024-03-01,Unknown,"United States",NULL
Project44,Chicago,Logistics,116,NULL,2023-09-14,Unknown,"United States",817
Proofpoint,"SF Bay Area",Security,280,0.06,2024-01-31,Acquired,"United States",885
PropertyGuru,Singapore,"Real Estate",79,NULL,2024-02-27,Post-IPO,Singapore,676
"Pure Storage","SF Bay Area",Data,275,NULL,2024-02-08,Post-IPO,"United States",529
Qoala,Jakarta,Finance,80,NULL,2023-07-31,"Series B",Indonesia,89
Qomplx,"Washington D.C.",AI,60,NULL,2023-08-04,"Series A","United States",107
Qualcomm,"San Diego",Hardware,1258,0.02,2023-10-12,Post-IPO,"United States",NULL
Qualtrics,"Salt Lake City",Other,780,0.14,2023-10-04,Acquired,"United States",400
Quizy,Gurugram,Consumer,NULL,1.0,2023-08-09,Seed,India,NULL
R3,"New York City",Crypto,NULL,0.2,2023-09-14,"Series A","United States",112
"Ranger Insurance","New York City",Finance,NULL,1.0,2024-04-01,Seed,"United States",5
Rapid7,Boston,Security,470,0.18,2023-08-08,Post-IPO,"United States",89
Recast,Edinburgh,Media,NULL,1.0,2023-09-22,"Series A","United Kingdom",14
Recur,Miami,Crypto,NULL,NULL,2023-08-21,"Series A","United States",55
"Redesign Health","New York City",Healthcare,77,NULL,2024-02-13,Unknown,"United States",315
"Redesign Health","New York City",Healthcare,77,NULL,2024-02-23,"Series C","United States",315
"Rent the Runway","New York City",Retail,37,0.1,2024-01-09,Post-IPO,"United States",526
Replit,"SF Bay Area",Product,30,0.2,2024-05-16,Unknown,"United States",222
Rezi,"New York City","Real Estate",NULL,1.0,2024-04-01,"Series B","United States",230
"Riot Games","Los Angeles",Consumer,530,0.11,2024-01-22,Acquired,"United States",21
Ripl,Seattle,Marketing,NULL,NULL,2023-07-26,Unknown,"United States",9
RiseUp,"Tel Aviv",Finance,50,0.5,2024-04-30,"Series B",Israel,30
Riskified,"New York City",Retail,40,0.06,2024-02-13,Post-IPO,"United States",229
Rivian,Detroit,Transportation,NULL,0.01,2024-04-17,Post-IPO,"United States",10700
Rivian,Detroit,Transportation,NULL,0.1,2024-02-21,Post-IPO,"United States",10700
Rivian,Detroit,Transportation,20,NULL,2023-12-07,Post-IPO,"United States",10700
Rivian,"Los Angeles",Transportation,120,NULL,2024-05-10,Post-IPO,"United States",10700
Rivian,"Los Angeles",Transportation,150,NULL,2024-05-03,Post-IPO,"United States",10700
Rivos,"SF Bay Area",Hardware,24,0.06,2023-08-23,Unknown,"United States",NULL
Robinhood,"SF Bay Area",Finance,NULL,NULL,2023-09-21,Post-IPO,"United States",5600
Roblox,"New York City",Consumer,30,NULL,2023-09-22,Post-IPO,"United States",857
"Roblox China",Shenzen,Consumer,15,NULL,2023-10-23,Subsidiary,China,NULL
Roku,"SF Bay Area",Media,360,0.1,2023-09-06,Post-IPO,"United States",208
"Sage Therapeutics copy",Boston,Healthcare,290,NULL,2023-09-15,Post-IPO,"United States",438
Salesforce,Dublin,Sales,50,NULL,2023-08-02,Post-IPO,Ireland,65
Salesforce,"SF Bay Area",Sales,700,0.01,2024-01-26,Post-IPO,"United States",65
